,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,0.0029771198
1,80099,-0.1249552021170332,0.0,0.0011850952
2,80100,0.4979932028913158,0.016146649,0.0
3,80101,1.072193596541135,0.01851514,0.0
4,80102,1.5414381287473036,0.051474806,0.0
5,80103,1.8597929641568645,0.0,0.010232874
6,80104,1.9960946952466119,0.0037939472,0.0
7,80105,1.937000894259923,0.020031909,0.0
8,80106,1.688296188905658,0.0,0.02549486
9,80107,1.2743260114724995,0.01489181,0.0
10,80108,0.7356134509921568,0.0,0.004921103
11,80109,0.12489249231761931,0.0052404827,0.0
12,80110,-0.4980540561713235,0.001235877,0.0
13,80111,-1.0722466364673517,0.0,0.0111196665
14,80112,-1.5414781632804864,0.011601174,0.0
15,80113,-1.859816074363702,0.0,0.03009635
16,80114,-1.9960986188997132,0.046144266,0.0
17,80115,-1.9369852472754385,0.00325856,0.0
18,80116,-1.688262502950737,0.0032471824,0.0
19,80117,-1.274277584017304,0.0019420676,0.0
20,80118,-0.7355550225687775,0.011442834,0.0
21,80119,-0.12482978240220076,0.00026296653,0.0
22,80120,0.4981149089738551,0.0022345746,0.0
23,80121,-0.7953673370366583,0.0075837993,0.0
24,80122,5.817599904378415,0.1024926,0.0
25,80123,-0.5131524589185845,0.0,0.016521549
26,80124,1.2831727667025308,0.04047856,0.0
27,80125,2.4640294502442197,0.0,0.028846497
28,80126,1.1108602661721187,0.014502525,0.0
29,80127,0.5393616871869531,0.018456655,0.0
30,80128,0.7354965934058879,0.0031871188,0.0
31,80129,0.12476707237083946,6.818357e-05,0.0
32,80130,-0.49817576127066376,0.0,0.0050727497
33,80131,-1.0723527131325903,0.00030067592,0.0
34,80132,-1.541558227777952,0.0024371604,0.0
35,80133,-1.8598622892759018,0.024499672,0.0
36,80134,-1.9961064602946739,0.0017098266,0.0
37,80135,-1.9369539475675626,0.0,0.016354686
38,80136,-1.6881951260303805,0.0,0.008852963
39,80137,-1.2741807253507242,0.002534906,0.0
40,80138,-0.7354381635306099,0.002179144,0.0
41,80139,-0.12470436220181197,0.0043403595,0.0
42,80140,0.4982366130828295,0.0,0.0001722461
43,80141,1.0724057498715078,0.00081562216,0.0
44,80142,1.5415982577514267,0.00024527631,0.0
45,80143,1.859885393978542,0.036234934,0.0
46,80144,1.9961103780365261,0.041755106,0.0
47,80145,1.9369382948442015,0.013591076,0.0
48,80146,1.688161435076715,0.017536024,0.0
49,80147,1.2741322941282198,0.008719355,0.0
50,80148,0.7353797329159366,0.0,0.010518045
51,80149,0.12464165192422733,0.0,0.0029012214
52,80150,-0.49829746440324557,0.0010441851,0.0
53,80151,-1.0724587855581238,0.0,0.04785674
54,80152,-1.5416382861941036,0.009517796,0.0
55,80153,-1.8599084968481876,0.0,0.01319383
56,80154,-1.9961142938087109,0.03135823,0.0
57,80155,-1.936922640212746,0.045222085,0.0
58,80156,-1.6881277424490644,0.034642316,0.0
59,80157,-1.274083861648172,0.09040869,0.0
60,80158,-0.7353213015889907,0.008249814,0.0
61,80159,-0.12457894150910022,0.0,0.0002147519
62,80160,0.4983583152318519,0.0059010307,0.0
63,80161,1.0725118201862442,0.012830184,0.0
64,80162,1.5416783131152145,0.022543889,0.0
65,80163,1.8599315978767899,0.0,0.00057976786
66,80164,1.9961182076107704,0.015667258,0.0
67,80165,1.9369069836677735,0.0,0.0053700404
68,80166,1.6880940481630684,0.016527671,0.0
69,80167,1.2740354279106287,0.022445109,0.0
70,80168,0.7352628695295309,0.011263041,0.0
71,80169,0.12451623098553982,0.00020098059,0.0
72,80170,-0.49841916557563487,0.0011768678,0.0
73,80171,-1.0725648537558168,0.009523835,0.0
74,80172,-1.5417183385239894,0.014919565,0.0
75,80173,-1.8599546970750265,0.026237447,0.0
76,80174,-1.9961221194427006,0.070075706,0.0
77,80175,-1.9368913252111122,0.0805873,0.0
78,80176,-1.6880603522109576,0.02205261,0.0
79,80177,-1.2739869929156376,0.029359534,0.0
80,80178,-0.7352044367443812,0.0,0.004352977
81,80179,-0.1244535203390844,0.00047105644,0.0
82,80180,0.4984800154133952,0.006169201,0.0
83,80181,1.0726178862667888,0.02468007,0.0
84,80182,1.5417583624064837,0.031121645,0.0
85,80183,1.8599777944321751,0.021529073,0.0
86,80184,1.9961260293044978,0.030233895,0.0
87,80185,1.9368756648427774,0.03132038,0.0
88,80186,1.6880266545849605,0.0159843,0.0
89,80187,1.2739385566688557,0.020247577,0.0
90,80188,0.7351460032335992,0.016588842,0.0
91,80189,0.1243908095552721,0.0070649586,0.0
92,80190,-0.4985408647591657,0.0,0.011011596
93,80191,-1.0726709177191085,0.0,0.02875058
94,80192,-1.5417983847672931,0.0,0.025189955
95,80193,-1.8600008899535627,0.0,1.0
