,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.31438875,0.0
1,80099,-0.1249552021170332,0.41948175,0.0
2,80100,0.4979932028913158,0.1445695,0.0
3,80101,1.072193596541135,0.04815283,0.0
4,80102,1.5414381287473036,0.17458789,0.0
5,80103,1.8597929641568645,0.40460476,0.0
6,80104,1.9960946952466119,0.32566145,0.0
7,80105,1.937000894259923,0.32931253,0.0
8,80106,1.688296188905658,0.50919396,0.0
9,80107,1.2743260114724995,0.17951515,0.0
10,80108,0.7356134509921568,0.121356376,0.0
11,80109,0.12489249231761931,0.19255956,0.0
12,80110,-0.4980540561713235,0.009868639,0.0
13,80111,-1.0722466364673517,0.0,0.1616318
14,80112,-1.5414781632804864,0.37336528,0.0
15,80113,-1.859816074363702,0.4307841,0.0
16,80114,-1.9960986188997132,0.058879636,0.0
17,80115,-1.9369852472754385,0.36704558,0.0
18,80116,-1.688262502950737,0.37162983,0.0
19,80117,-1.274277584017304,0.12860511,0.0
20,80118,-0.7355550225687775,0.0,0.1458778
21,80119,-0.12482978240220076,0.16988708,0.0
22,80120,0.4981149089738551,0.005477317,0.0
23,80121,-0.7953673370366583,0.72036475,0.0
24,80122,5.817599904378415,0.720154,0.0
25,80123,-0.5131524589185845,0.30848375,0.0
26,80124,1.2831727667025308,0.37912357,0.0
27,80125,2.4640294502442197,0.109965734,0.0
28,80126,1.1108602661721187,0.6699676,0.0
29,80127,0.5393616871869531,0.3827539,0.0
30,80128,0.7354965934058879,0.19223982,0.0
31,80129,0.12476707237083946,0.42226195,0.0
32,80130,-0.49817576127066376,0.29264393,0.0
33,80131,-1.0723527131325903,0.6274772,0.0
34,80132,-1.541558227777952,0.07097397,0.0
35,80133,-1.8598622892759018,0.0,0.54046357
36,80134,-1.9961064602946739,0.13388616,0.0
37,80135,-1.9369539475675626,0.3183452,0.0
38,80136,-1.6881951260303805,0.36152783,0.0
39,80137,-1.2741807253507242,0.46088248,0.0
40,80138,-0.7354381635306099,0.12898935,0.0
41,80139,-0.12470436220181197,0.12610425,0.0
42,80140,0.4982366130828295,0.5179883,0.0
43,80141,1.0724057498715078,0.9078286,0.0
44,80142,1.5415982577514267,0.43409994,0.0
45,80143,1.859885393978542,0.0,0.19548923
46,80144,1.9961103780365261,0.6044067,0.0
47,80145,1.9369382948442015,0.41293478,0.0
48,80146,1.688161435076715,0.0,0.04157457
49,80147,1.2741322941282198,0.0,0.13216789
50,80148,0.7353797329159366,0.0771644,0.0
51,80149,0.12464165192422733,0.3138171,0.0
52,80150,-0.49829746440324557,0.3370643,0.0
53,80151,-1.0724587855581238,0.0,0.0027433645
54,80152,-1.5416382861941036,0.59069276,0.0
55,80153,-1.8599084968481876,0.64553654,0.0
56,80154,-1.9961142938087109,0.27210522,0.0
57,80155,-1.936922640212746,0.39687267,0.0
58,80156,-1.6881277424490644,0.11971478,0.0
59,80157,-1.274083861648172,0.0,0.008666928
60,80158,-0.7353213015889907,0.15622589,0.0
61,80159,-0.12457894150910022,0.0,0.11120316
62,80160,0.4983583152318519,0.43266404,0.0
63,80161,1.0725118201862442,0.078232124,0.0
64,80162,1.5416783131152145,0.24115504,0.0
65,80163,1.8599315978767899,0.21238764,0.0
66,80164,1.9961182076107704,0.4368386,0.0
67,80165,1.9369069836677735,0.16861477,0.0
68,80166,1.6880940481630684,0.4994424,0.0
69,80167,1.2740354279106287,0.031599075,0.0
70,80168,0.7352628695295309,0.0,0.07475156
71,80169,0.12451623098553982,0.21299997,0.0
72,80170,-0.49841916557563487,0.0,0.22427242
73,80171,-1.0725648537558168,0.264591,0.0
74,80172,-1.5417183385239894,0.3851897,0.0
75,80173,-1.8599546970750265,0.0,0.082598254
76,80174,-1.9961221194427006,0.0,0.09068079
77,80175,-1.9368913252111122,0.04527382,0.0
78,80176,-1.6880603522109576,0.18368003,0.0
79,80177,-1.2739869929156376,0.3290886,0.0
80,80178,-0.7352044367443812,0.6004478,0.0
81,80179,-0.1244535203390844,0.1409486,0.0
82,80180,0.4984800154133952,0.11355758,0.0
83,80181,1.0726178862667888,0.33926755,0.0
84,80182,1.5417583624064837,0.12954134,0.0
85,80183,1.8599777944321751,0.07171974,0.0
86,80184,1.9961260293044978,0.0,0.23059821
87,80185,1.9368756648427774,0.0,0.042988606
88,80186,1.6880266545849605,0.08817107,0.0
89,80187,1.2739385566688557,0.23933434,0.0
90,80188,0.7351460032335992,0.078061044,0.0
91,80189,0.1243908095552721,0.23145692,0.0
92,80190,-0.4985408647591657,0.36889312,0.0
93,80191,-1.0726709177191085,0.0,0.0012930632
94,80192,-1.5417983847672931,0.6095129,0.0
95,80193,-1.8600008899535627,1.0,0.0
