,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,0.005684352
1,80099,-0.1249552021170332,0.0,0.0015454979
2,80100,0.4979932028913158,0.0015242093,0.0
3,80101,1.072193596541135,0.0010880779,0.0
4,80102,1.5414381287473036,0.0008516169,0.0
5,80103,1.8597929641568645,0.0,0.00027839537
6,80104,1.9960946952466119,0.0,0.0019370517
7,80105,1.937000894259923,0.0,0.0010304986
8,80106,1.688296188905658,0.0,0.0013315399
9,80107,1.2743260114724995,2.1788706e-05,0.0
10,80108,0.7356134509921568,0.0,0.004490045
11,80109,0.12489249231761931,0.0,0.00021388651
12,80110,-0.4980540561713235,0.007824145,0.0
13,80111,-1.0722466364673517,0.009462442,0.0
14,80112,-1.5414781632804864,0.0068245796,0.0
15,80113,-1.859816074363702,0.010750976,0.0
16,80114,-1.9960986188997132,0.0,0.020383084
17,80115,-1.9369852472754385,0.0,0.018622914
18,80116,-1.688262502950737,0.0,0.033342578
19,80117,-1.274277584017304,0.0,0.01708306
20,80118,-0.7355550225687775,0.0,0.009738837
21,80119,-0.12482978240220076,0.0,0.001220739
22,80120,0.4981149089738551,0.0028286742,0.0
23,80121,-0.7953673370366583,0.00014952052,0.0
24,80122,5.817599904378415,0.007978381,0.0
25,80123,-0.5131524589185845,0.000648089,0.0
26,80124,1.2831727667025308,0.0,0.0007386014
27,80125,2.4640294502442197,0.0,0.0017993898
28,80126,1.1108602661721187,0.0,0.0022818132
29,80127,0.5393616871869531,0.0,0.0005739359
30,80128,0.7354965934058879,0.0,0.0047955154
31,80129,0.12476707237083946,0.0,0.00024953426
32,80130,-0.49817576127066376,0.009311635,0.0
33,80131,-1.0723527131325903,0.012931061,0.0
34,80132,-1.541558227777952,0.00962475,0.0
35,80133,-1.8598622892759018,0.00851867,0.0
36,80134,-1.9961064602946739,0.0,0.022542238
37,80135,-1.9369539475675626,0.0,0.028291956
38,80136,-1.6881951260303805,0.0,0.032073047
39,80137,-1.2741807253507242,0.0,0.022879498
40,80138,-0.7354381635306099,0.0,0.0059910365
41,80139,-0.12470436220181197,0.0,0.0023467508
42,80140,0.4982366130828295,0.0015772879,0.0
43,80141,1.0724057498715078,0.0,0.0018604697
44,80142,1.5415982577514267,0.0,0.0010860777
45,80143,1.859885393978542,0.0,0.0022182332
46,80144,1.9961103780365261,0.0,0.00058643764
47,80145,1.9369382948442015,0.00035119106,0.0
48,80146,1.688161435076715,0.00020588542,0.0
49,80147,1.2741322941282198,0.0006498749,0.0
50,80148,0.7353797329159366,0.0,0.0024022583
51,80149,0.12464165192422733,0.0,0.00026139303
52,80150,-0.49829746440324557,0.006578832,0.0
53,80151,-1.0724587855581238,0.00859568,0.0
54,80152,-1.5416382861941036,0.009011523,0.0
55,80153,-1.8599084968481876,0.011906992,0.0
56,80154,-1.9961142938087109,0.0,0.030448966
57,80155,-1.936922640212746,0.0,0.029249087
58,80156,-1.6881277424490644,0.0,0.020768922
59,80157,-1.274083861648172,0.0,0.028426759
60,80158,-0.7353213015889907,0.0,0.00939979
61,80159,-0.12457894150910022,0.0,0.0023757548
62,80160,0.4983583152318519,0.0015180656,0.0
63,80161,1.0725118201862442,0.0,0.00091926905
64,80162,1.5416783131152145,0.0,0.00028232447
65,80163,1.8599315978767899,0.0,0.0014636295
66,80164,1.9961182076107704,0.0,0.000725171
67,80165,1.9369069836677735,0.0,0.0013781892
68,80166,1.6880940481630684,8.5797496e-05,0.0
69,80167,1.2740354279106287,0.0,0.0007441736
70,80168,0.7352628695295309,0.0,0.0015149222
71,80169,0.12451623098553982,0.0,0.0003393323
72,80170,-0.49841916557563487,0.008501524,0.0
73,80171,-1.0725648537558168,0.009995872,0.0
74,80172,-1.5417183385239894,0.008390724,0.0
75,80173,-1.8599546970750265,0.007515603,0.0
76,80174,-1.9961221194427006,0.0,0.031886447
77,80175,-1.9368913252111122,0.0,0.03110577
78,80176,-1.6880603522109576,0.0,0.024280334
79,80177,-1.2739869929156376,0.0,0.035656467
80,80178,-0.7352044367443812,0.0,0.008722483
81,80179,-0.1244535203390844,0.0,0.001814892
82,80180,0.4984800154133952,0.0,0.00010708613
83,80181,1.0726178862667888,0.0,0.0016785162
84,80182,1.5417583624064837,0.0,0.0007591042
85,80183,1.8599777944321751,0.0,5.5721935e-06
86,80184,1.9961260293044978,0.0006962384,0.0
87,80185,1.9368756648427774,0.0009198406,0.0
88,80186,1.6880266545849605,0.0,0.0017886027
89,80187,1.2739385566688557,0.0,0.0010458579
90,80188,0.7351460032335992,0.0,0.002602
91,80189,0.1243908095552721,0.0,0.00017209505
92,80190,-0.4985408647591657,0.0039714025,0.0
93,80191,-1.0726709177191085,0.008827927,0.0
94,80192,-1.5417983847672931,0.015259666,0.0
95,80193,-1.8600008899535627,0.0,1.0
